#Data Set Export - Rainfall.Continuous@A64871M,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1887-06-21 00:00:00,0.76,200,5,
1887-06-22 00:00:00,5.08,200,5,
1887-06-23 00:00:00,3.81,200,5,
1887-06-24 00:00:00,1.27,200,5,
1887-06-25 00:00:00,11.94,200,5,
1887-06-26 00:00:00,1.02,200,5,
1887-06-27 00:00:00,1.78,200,5,
1887-06-28 00:00:00,5.08,200,5,
1887-06-29 00:00:00,12.95,200,5,
1887-07-01 00:00:00,0,200,5,
1887-07-02 00:00:00,1.27,200,5,
1887-07-03 00:00:00,0.25,200,5,
1887-07-07 00:00:00,0,200,5,
1887-07-08 00:00:00,5.08,200,5,
1887-07-09 00:00:00,9.14,200,5,
1887-07-10 00:00:00,1.78,200,5,
1887-07-11 00:00:00,3.3,200,5,
1887-07-12 00:00:00,10.41,200,5,
1887-07-13 00:00:00,3.81,200,5,
1887-07-14 00:00:00,1.78,200,5,
1887-07-15 00:00:00,1.27,200,5,
1887-07-16 00:00:00,1.27,200,5,
1887-07-17 00:00:00,0.25,200,5,
1887-07-18 00:00:00,0.25,200,5,
1887-07-19 00:00:00,6.6,200,5,
1887-07-20 00:00:00,16.51,200,5,
1887-07-21 00:00:00,10.16,200,5,
1887-07-22 00:00:00,0,200,5,
1887-07-23 00:00:00,10.16,200,5,
1887-07-24 00:00:00,11.94,200,5,
1887-07-25 00:00:00,8.64,200,5,
1887-07-26 00:00:00,2.79,200,5,
1887-07-27 00:00:00,8.13,200,5,
1887-07-28 00:00:00,14.48,200,5,
1887-07-30 00:00:00,0,200,5,
1887-07-31 00:00:00,20.57,200,5,
1887-08-01 00:00:00,0.51,200,5,
1887-08-02 00:00:00,0,200,5,
1887-08-03 00:00:00,3.05,200,5,
1887-08-04 00:00:00,0.51,200,5,
1887-08-06 00:00:00,0,200,5,
1887-08-07 00:00:00,1.27,200,5,
1887-08-08 00:00:00,1.52,200,5,
1887-08-09 00:00:00,2.54,200,5,
1887-08-10 00:00:00,3.3,200,5,
1887-08-11 00:00:00,11.18,200,5,
1887-08-12 00:00:00,0.76,200,5,
1887-08-13 00:00:00,4.57,200,5,
1887-08-14 00:00:00,1.52,200,5,
1887-08-21 00:00:00,0,200,5,
1887-08-22 00:00:00,0.51,200,5,
1887-08-23 00:00:00,0.51,200,5,
1887-08-24 00:00:00,0,200,5,
1887-08-25 00:00:00,3.56,200,5,
1887-08-26 00:00:00,0.51,200,5,
1887-09-02 00:00:00,0,200,5,
1887-09-03 00:00:00,0,200,5,
1887-09-04 00:00:00,8.13,200,5,
1887-09-05 00:00:00,10.41,200,5,
1887-09-06 00:00:00,7.62,200,5,
1887-09-07 00:00:00,5.08,200,5,
1887-09-08 00:00:00,0,200,5,
1887-09-09 00:00:00,12.7,200,5,
1887-09-10 00:00:00,6.35,200,5,
1887-09-11 00:00:00,5.59,200,5,
1887-09-12 00:00:00,0.51,200,5,
1887-09-13 00:00:00,5.08,200,5,
1887-09-14 00:00:00,4.83,200,5,
1887-09-15 00:00:00,3.3,200,5,
1887-09-21 00:00:00,0,200,5,
1887-09-22 00:00:00,1.27,200,5,
1887-09-23 00:00:00,8.13,200,5,
1887-09-24 00:00:00,0,200,5,
1887-09-25 00:00:00,4.57,200,5,
1887-09-26 00:00:00,6.6,200,5,
1887-09-27 00:00:00,0,200,5,
1887-09-28 00:00:00,3.81,200,5,
1887-09-29 00:00:00,18.03,200,5,
1887-09-30 00:00:00,1.27,200,5,
1887-10-01 00:00:00,3.05,200,5,
1887-10-02 00:00:00,5.08,200,5,
1887-10-03 00:00:00,8.64,200,5,
1887-10-04 00:00:00,9.4,200,5,
1887-10-08 00:00:00,0,200,5,
1887-10-09 00:00:00,3.05,200,5,
1887-10-10 00:00:00,6.35,200,5,
1887-10-11 00:00:00,6.35,200,5,
1887-10-12 00:00:00,1.02,200,5,
1887-10-13 00:00:00,0,200,5,
1887-10-14 00:00:00,15.24,200,5,
1887-10-15 00:00:00,3.81,200,5,
1887-10-16 00:00:00,4.83,200,5,
1887-10-17 00:00:00,0.25,200,5,
1887-10-18 00:00:00,2.03,200,5,
1887-10-19 00:00:00,0.76,200,5,
1887-10-21 00:00:00,0,200,5,
1887-10-22 00:00:00,6.35,200,5,
1887-10-23 00:00:00,2.29,200,5,
1887-10-24 00:00:00,0.51,200,5,
1887-10-25 00:00:00,1.52,200,5,
1887-10-26 00:00:00,2.54,200,5,
1887-10-27 00:00:00,0.25,200,5,
1887-10-30 00:00:00,0,200,5,
1887-10-31 00:00:00,2.03,200,5,
1887-11-01 00:00:00,0,200,5,
1887-11-02 00:00:00,2.54,200,5,
1887-11-06 00:00:00,0,200,5,
1887-11-07 00:00:00,0.25,200,5,
1887-11-08 00:00:00,1.27,200,5,
1887-11-09 00:00:00,0,200,5,
1887-11-10 00:00:00,0.25,200,5,
1887-11-12 00:00:00,0,200,5,
1887-11-13 00:00:00,7.62,200,5,
1887-11-14 00:00:00,5.59,200,5,
1887-11-15 00:00:00,0,200,5,
1887-11-16 00:00:00,21.59,200,5,
1887-11-17 00:00:00,2.03,200,5,
1887-11-18 00:00:00,0.25,200,5,
1887-11-19 00:00:00,0.51,200,5,
1887-11-20 00:00:00,0.25,200,5,
1887-11-21 00:00:00,0.76,200,5,
1887-11-22 00:00:00,2.54,200,5,
1887-11-23 00:00:00,0,200,5,
1887-11-24 00:00:00,5.33,200,5,
1887-11-25 00:00:00,0.25,200,5,
1887-11-26 00:00:00,0.51,200,5,
1887-11-28 00:00:00,0,200,5,
1887-11-29 00:00:00,0.51,200,5,
1887-11-30 00:00:00,10.16,200,5,
1887-12-03 00:00:00,0,200,5,
1887-12-04 00:00:00,10.16,200,5,
1887-12-05 00:00:00,5.08,200,5,
1887-12-06 00:00:00,1.27,200,5,
1887-12-07 00:00:00,2.79,200,5,
1887-12-13 00:00:00,0,200,5,
1887-12-14 00:00:00,16.26,200,5,
1887-12-15 00:00:00,6.35,200,5,
1887-12-22 00:00:00,0,200,5,
1887-12-23 00:00:00,0,200,5,
1887-12-24 00:00:00,2.54,200,5,
1887-12-26 00:00:00,0,200,5,
1887-12-27 00:00:00,0.51,200,5,
1888-01-03 00:00:00,0,200,5,
1888-01-06 00:00:00,0,200,5,
1888-01-07 00:00:00,0.25,200,5,
1888-01-08 00:00:00,16.51,200,5,
1888-01-15 00:00:00,0,200,5,
1888-01-18 00:00:00,0,200,5,
1888-01-19 00:00:00,0.25,200,5,
1888-01-20 00:00:00,0,200,5,
1888-01-21 00:00:00,2.54,200,5,
1888-01-22 00:00:00,2.03,200,5,
1888-01-23 00:00:00,5.59,200,5,
1888-01-24 00:00:00,2.29,200,5,
1888-01-25 00:00:00,0,200,5,
1888-01-26 00:00:00,0.25,200,5,
1888-01-27 00:00:00,0.76,200,5,
1888-01-29 00:00:00,0,200,5,
1888-01-30 00:00:00,0.51,200,5,
1888-01-31 00:00:00,1.02,200,5,
1888-02-01 00:00:00,2.03,200,5,
1888-02-02 00:00:00,2.79,200,5,
1888-02-05 00:00:00,0,200,5,
1888-02-06 00:00:00,0.25,200,5,
1888-02-10 00:00:00,0,200,5,
1888-02-11 00:00:00,0.25,200,5,
1888-02-18 00:00:00,0,200,5,
1888-02-19 00:00:00,0,200,5,
1888-02-20 00:00:00,5.84,200,5,
1888-02-21 00:00:00,10.92,200,5,
1888-02-28 00:00:00,0,200,5,
1888-03-06 00:00:00,0,200,5,
1888-03-09 00:00:00,0,200,5,
1888-03-10 00:00:00,38.61,200,5,
1888-03-11 00:00:00,0,200,5,
1888-03-12 00:00:00,35.56,200,5,
1888-03-13 00:00:00,0,200,5,
1888-03-14 00:00:00,5.08,200,5,
1888-03-15 00:00:00,0.25,200,5,
1888-03-17 00:00:00,0,200,5,
1888-03-18 00:00:00,19.56,200,5,
1888-03-19 00:00:00,0,200,5,
1888-03-20 00:00:00,6.86,200,5,
1888-03-21 00:00:00,0.51,200,5,
1888-03-26 00:00:00,0,200,5,
1888-03-27 00:00:00,0.76,200,5,
1888-03-28 00:00:00,13.21,200,5,
1888-03-29 00:00:00,5.84,200,5,
1888-03-30 00:00:00,3.05,200,5,
1888-04-02 00:00:00,0,200,5,
1888-04-03 00:00:00,2.29,200,5,
1888-04-04 00:00:00,0,200,5,
1888-04-05 00:00:00,0.76,200,5,
1888-04-12 00:00:00,0,200,5,
1888-04-15 00:00:00,0,200,5,
1888-04-16 00:00:00,5.59,200,5,
1888-04-17 00:00:00,2.29,200,5,
1888-04-18 00:00:00,0.51,200,5,
1888-04-19 00:00:00,1.52,200,5,
1888-04-23 00:00:00,0,200,5,
1888-04-24 00:00:00,3.3,200,5,
1888-04-25 00:00:00,2.79,200,5,
1888-04-26 00:00:00,5.84,200,5,
1888-05-01 00:00:00,0,200,5,
1888-05-02 00:00:00,0.25,200,5,
1888-05-03 00:00:00,0.51,200,5,
1888-05-05 00:00:00,0,200,5,
1888-05-06 00:00:00,0.25,200,5,
1888-05-07 00:00:00,0.76,200,5,
1888-05-11 00:00:00,0,200,5,
1888-05-12 00:00:00,33.27,200,5,
1888-05-13 00:00:00,62.23,200,5,
1888-05-14 00:00:00,0.76,200,5,
1888-05-15 00:00:00,0.51,200,5,
1888-05-18 00:00:00,0,200,5,
1888-05-19 00:00:00,0.25,200,5,
1888-05-20 00:00:00,8.64,200,5,
1888-05-21 00:00:00,5.33,200,5,
1888-05-22 00:00:00,0.25,200,5,
1888-05-23 00:00:00,5.84,200,5,
1888-05-24 00:00:00,0.25,200,5,
1888-05-25 00:00:00,2.03,200,5,
1888-05-26 00:00:00,1.27,200,5,
1888-05-27 00:00:00,0.76,200,5,
1888-05-28 00:00:00,10.92,200,5,
1888-05-29 00:00:00,2.54,200,5,
1888-05-30 00:00:00,7.87,200,5,
1888-06-02 00:00:00,0,200,5,
1888-06-03 00:00:00,2.03,200,5,
1888-06-04 00:00:00,0.25,200,5,
1888-06-05 00:00:00,25.65,200,5,
1888-06-06 00:00:00,0.51,200,5,
1888-06-10 00:00:00,0,200,5,
1888-06-11 00:00:00,0.76,200,5,
1888-06-12 00:00:00,0.51,200,5,
1888-06-13 00:00:00,0,200,5,
1888-06-14 00:00:00,0.51,200,5,
1888-06-15 00:00:00,5.33,200,5,
1888-06-16 00:00:00,18.54,200,5,
1888-06-17 00:00:00,22.61,200,5,
1888-06-18 00:00:00,5.33,200,5,
1888-06-19 00:00:00,0.25,200,5,
1888-06-21 00:00:00,0,200,5,
1888-06-22 00:00:00,2.54,200,5,
1888-06-23 00:00:00,0.25,200,5,
1888-06-24 00:00:00,2.79,200,5,
1888-06-25 00:00:00,3.81,200,5,
1888-06-26 00:00:00,12.45,200,5,
1888-06-27 00:00:00,0.25,200,5,
1888-06-29 00:00:00,0,200,5,
1888-06-30 00:00:00,0.25,200,5,
1888-07-01 00:00:00,0.25,200,5,
1888-07-02 00:00:00,0.25,200,5,
1888-07-03 00:00:00,3.05,200,5,
1888-07-04 00:00:00,2.54,200,5,
1888-07-05 00:00:00,0.25,200,5,
1888-07-07 00:00:00,0,200,5,
1888-07-08 00:00:00,2.79,200,5,
1888-07-09 00:00:00,0,200,5,
1888-07-10 00:00:00,0.51,200,5,
1888-07-11 00:00:00,3.81,200,5,
1888-07-12 00:00:00,2.79,200,5,
1888-07-13 00:00:00,2.79,200,5,
1888-07-15 00:00:00,0,200,5,
1888-07-16 00:00:00,10.16,200,5,
1888-07-17 00:00:00,26.92,200,5,
1888-07-18 00:00:00,0.25,200,5,
1888-07-19 00:00:00,0.25,200,5,
1888-07-20 00:00:00,0,200,5,
1888-07-21 00:00:00,5.08,200,5,
1888-07-22 00:00:00,0,200,5,
1888-07-23 00:00:00,10.16,200,5,
1888-07-24 00:00:00,1.27,200,5,
1888-07-25 00:00:00,13.46,200,5,
1888-07-26 00:00:00,0,200,5,
1888-07-27 00:00:00,2.03,200,5,
1888-07-28 00:00:00,8.13,200,5,
1888-07-29 00:00:00,1.27,200,5,
1888-08-03 00:00:00,0,200,5,
1888-08-04 00:00:00,4.06,200,5,
1888-08-05 00:00:00,4.06,200,5,
1888-08-06 00:00:00,4.57,200,5,
1888-08-07 00:00:00,6.35,200,5,
1888-08-08 00:00:00,0.25,200,5,
1888-08-09 00:00:00,1.02,200,5,
1888-08-10 00:00:00,0,200,5,
1888-08-11 00:00:00,9.14,200,5,
1888-08-12 00:00:00,0.76,200,5,
1888-08-13 00:00:00,8.89,200,5,
1888-08-14 00:00:00,0.51,200,5,
1888-08-17 00:00:00,0,200,5,
1888-08-18 00:00:00,6.35,200,5,
1888-08-19 00:00:00,15.75,200,5,
1888-08-20 00:00:00,0,200,5,
1888-08-21 00:00:00,5.59,200,5,
1888-08-22 00:00:00,3.05,200,5,
1888-08-23 00:00:00,10.41,200,5,
1888-08-24 00:00:00,0.76,200,5,
1888-08-25 00:00:00,1.27,200,5,
1888-08-26 00:00:00,0,200,5,
1888-08-27 00:00:00,0.76,200,5,
1888-08-28 00:00:00,0,200,5,
1888-08-29 00:00:00,1.52,200,5,
1888-08-30 00:00:00,0.25,200,5,
1888-08-31 00:00:00,1.02,200,5,
1888-09-02 00:00:00,0,200,5,
1888-09-03 00:00:00,0.51,200,5,
1888-09-05 00:00:00,0,200,5,
1888-09-06 00:00:00,5.33,200,5,
1888-09-07 00:00:00,3.81,200,5,
1888-09-09 00:00:00,0,200,5,
1888-09-10 00:00:00,1.02,200,5,
1888-09-16 00:00:00,0,200,5,
1888-09-17 00:00:00,2.54,200,5,
1888-09-18 00:00:00,0.51,200,5,
1888-09-20 00:00:00,0,200,5,
1888-09-21 00:00:00,2.29,200,5,
1888-09-23 00:00:00,0,200,5,
1888-09-24 00:00:00,0.76,200,5,
1888-09-25 00:00:00,0,200,5,
1888-09-26 00:00:00,5.59,200,5,
1888-09-27 00:00:00,0,200,5,
1888-09-28 00:00:00,0.76,200,5,
1888-10-01 00:00:00,0,200,5,
1888-10-02 00:00:00,6.35,200,5,
1888-10-03 00:00:00,10.41,200,5,
1888-10-07 00:00:00,0,200,5,
1888-10-08 00:00:00,12.7,200,5,
1888-10-09 00:00:00,4.57,200,5,
1888-10-10 00:00:00,2.29,200,5,
1888-10-17 00:00:00,0,200,5,
1888-10-20 00:00:00,0,200,5,
1888-10-21 00:00:00,3.3,200,5,
1888-10-22 00:00:00,0,200,5,
1888-10-23 00:00:00,20.57,200,5,
1888-10-24 00:00:00,6.6,200,5,
1888-10-25 00:00:00,17.53,200,5,
1888-10-26 00:00:00,2.79,200,5,
1888-10-27 00:00:00,0.51,200,5,
1888-10-28 00:00:00,0.25,200,5,
1888-10-29 00:00:00,0,200,5,
1888-10-30 00:00:00,0.25,200,5,
1888-10-31 00:00:00,1.27,200,5,
1888-11-01 00:00:00,0.25,200,5,
1888-11-02 00:00:00,2.54,200,5,
1888-11-03 00:00:00,2.54,200,5,
1888-11-04 00:00:00,1.02,200,5,
1888-11-05 00:00:00,0.25,200,5,
1888-11-06 00:00:00,9.14,200,5,
1888-11-07 00:00:00,2.54,200,5,
1888-11-08 00:00:00,2.54,200,5,
1888-11-09 00:00:00,13.97,200,5,
1888-11-10 00:00:00,0.25,200,5,
1888-11-11 00:00:00,6.35,200,5,
1888-11-12 00:00:00,8.38,200,5,
1888-11-13 00:00:00,0.25,200,5,
1888-11-15 00:00:00,0,200,5,
1888-11-16 00:00:00,18.29,200,5,
1888-11-17 00:00:00,0,200,5,
1888-11-18 00:00:00,4.57,200,5,
1888-11-21 00:00:00,0,200,5,
1888-11-22 00:00:00,5.33,200,5,
1888-11-23 00:00:00,0,200,5,
1888-11-24 00:00:00,7.62,200,5,
1888-11-25 00:00:00,2.03,200,5,
1888-11-26 00:00:00,0.25,200,5,
1888-11-27 00:00:00,1.27,200,5,
1888-11-28 00:00:00,0.25,200,5,
1888-11-29 00:00:00,0.25,200,5,
1888-11-30 00:00:00,2.54,200,5,
1888-12-02 00:00:00,0,200,5,
1888-12-03 00:00:00,2.54,200,5,
1888-12-04 00:00:00,0,200,5,
1888-12-05 00:00:00,0.76,200,5,
1888-12-08 00:00:00,0,200,5,
1888-12-09 00:00:00,0.76,200,5,
1888-12-10 00:00:00,0,200,5,
1888-12-11 00:00:00,2.54,200,5,
1888-12-12 00:00:00,0,200,5,
1888-12-13 00:00:00,1.27,200,5,
1888-12-14 00:00:00,8.89,200,5,
1888-12-15 00:00:00,9.65,200,5,
1888-12-16 00:00:00,2.54,200,5,
1888-12-23 00:00:00,0,200,5,
1888-12-24 00:00:00,0,200,5,
1888-12-25 00:00:00,3.05,200,5,
1889-01-01 00:00:00,0,200,5,
1889-01-06 00:00:00,0,200,5,
1889-01-07 00:00:00,4.57,200,5,
1889-01-09 00:00:00,0,200,5,
1889-01-10 00:00:00,0.25,200,5,
1889-01-11 00:00:00,7.87,200,5,
1889-01-12 00:00:00,2.29,200,5,
1889-01-19 00:00:00,0,200,5,
1889-01-20 00:00:00,0,200,5,
1889-01-21 00:00:00,1.27,200,5,
1889-01-28 00:00:00,0,200,5,
1889-02-02 00:00:00,0,200,5,
1889-02-03 00:00:00,36.83,200,5,
1889-02-04 00:00:00,35.31,200,5,
1889-02-10 00:00:00,0,200,5,
1889-02-11 00:00:00,1.27,200,5,
1889-02-12 00:00:00,25.4,200,5,
1889-02-13 00:00:00,0.76,200,5,
1889-02-14 00:00:00,0.25,200,5,
1889-02-21 00:00:00,0,200,5,
1889-02-24 00:00:00,0,200,5,
1889-02-25 00:00:00,0.51,200,5,
1889-02-26 00:00:00,0.51,200,5,
1889-02-27 00:00:00,1.78,200,5,
1889-03-06 00:00:00,0,200,5,
1889-03-10 00:00:00,0,200,5,
1889-03-11 00:00:00,1.27,200,5,
1889-03-14 00:00:00,0,200,5,
1889-03-15 00:00:00,0.25,200,5,
1889-03-16 00:00:00,0,200,5,
1889-03-17 00:00:00,0.76,200,5,
1889-03-23 00:00:00,0,200,5,
1889-03-24 00:00:00,3.81,200,5,
1889-03-25 00:00:00,4.32,200,5,
1889-03-26 00:00:00,2.29,200,5,
1889-03-27 00:00:00,5.08,200,5,
1889-04-03 00:00:00,0,200,5,
1889-04-04 00:00:00,0,200,5,
1889-04-05 00:00:00,5.84,200,5,
1889-04-11 00:00:00,0,200,5,
1889-04-12 00:00:00,0.25,200,5,
1889-04-13 00:00:00,0.76,200,5,
1889-04-14 00:00:00,3.3,200,5,
1889-04-15 00:00:00,1.02,200,5,
1889-04-16 00:00:00,0,200,5,
1889-04-17 00:00:00,1.78,200,5,
1889-04-21 00:00:00,0,200,5,
1889-04-22 00:00:00,0.76,200,5,
1889-04-23 00:00:00,0.25,200,5,
1889-04-24 00:00:00,1.27,200,5,
1889-04-27 00:00:00,0,200,5,
1889-04-28 00:00:00,6.35,200,5,
1889-04-29 00:00:00,2.54,200,5,
1889-04-30 00:00:00,1.27,200,5,
1889-05-01 00:00:00,0.76,200,5,
1889-05-04 00:00:00,0,200,5,
1889-05-05 00:00:00,1.02,200,5,
1889-05-06 00:00:00,0.25,200,5,
1889-05-09 00:00:00,0,200,5,
1889-05-10 00:00:00,0.76,200,5,
1889-05-11 00:00:00,55.88,200,5,
1889-05-12 00:00:00,6.35,200,5,
1889-05-14 00:00:00,0,200,5,
1889-05-15 00:00:00,2.03,200,5,
1889-05-16 00:00:00,30.99,200,5,
1889-05-17 00:00:00,3.56,200,5,
1889-05-18 00:00:00,3.81,200,5,
1889-05-19 00:00:00,8.38,200,5,
1889-05-20 00:00:00,1.02,200,5,
1889-05-21 00:00:00,0.76,200,5,
1889-05-23 00:00:00,0,200,5,
1889-05-24 00:00:00,0.25,200,5,
1889-05-25 00:00:00,0.25,200,5,
1889-05-27 00:00:00,0,200,5,
1889-05-28 00:00:00,4.83,200,5,
1889-05-30 00:00:00,0,200,5,
1889-05-31 00:00:00,0.76,200,5,
1889-06-01 00:00:00,16.51,200,5,
1889-06-02 00:00:00,19.81,200,5,
1889-06-03 00:00:00,1.78,200,5,
1889-06-04 00:00:00,2.03,200,5,
1889-06-05 00:00:00,0,200,5,
1889-06-06 00:00:00,0.25,200,5,
1889-06-07 00:00:00,1.27,200,5,
1889-06-08 00:00:00,7.11,200,5,
1889-06-09 00:00:00,10.92,200,5,
1889-06-10 00:00:00,27.94,200,5,
1889-06-11 00:00:00,7.11,200,5,
1889-06-12 00:00:00,11.68,200,5,
1889-06-13 00:00:00,8.13,200,5,
1889-06-14 00:00:00,3.81,200,5,
1889-06-15 00:00:00,1.02,200,5,
1889-06-19 00:00:00,0,200,5,
1889-06-20 00:00:00,9.4,200,5,
1889-06-21 00:00:00,10.41,200,5,
1889-06-22 00:00:00,3.05,200,5,
1889-06-23 00:00:00,15.24,200,5,
1889-06-24 00:00:00,2.03,200,5,
1889-06-25 00:00:00,5.59,200,5,
1889-06-26 00:00:00,3.05,200,5,
1889-06-27 00:00:00,30.99,200,5,
1889-06-28 00:00:00,1.27,200,5,
1889-06-29 00:00:00,28.96,200,5,
1889-06-30 00:00:00,49.53,200,5,
1889-07-01 00:00:00,2.03,200,5,
1889-07-02 00:00:00,1.78,200,5,
1889-07-03 00:00:00,1.27,200,5,
1889-07-04 00:00:00,3.81,200,5,
1889-07-05 00:00:00,0.51,200,5,
1889-07-06 00:00:00,29.21,200,5,
1889-07-07 00:00:00,11.68,200,5,
1889-07-08 00:00:00,5.08,200,5,
1889-07-09 00:00:00,4.57,200,5,
1889-07-10 00:00:00,0.25,200,5,
1889-07-11 00:00:00,3.3,200,5,
1889-07-12 00:00:00,10.67,200,5,
1889-07-13 00:00:00,5.08,200,5,
1889-07-14 00:00:00,0.25,200,5,
1889-07-15 00:00:00,1.52,200,5,
1889-07-16 00:00:00,1.78,200,5,
1889-07-17 00:00:00,15.75,200,5,
1889-07-18 00:00:00,0.25,200,5,
1889-07-19 00:00:00,2.03,200,5,
1889-07-20 00:00:00,0.25,200,5,
1889-07-23 00:00:00,0,200,5,
1889-07-24 00:00:00,0.76,200,5,
1889-07-29 00:00:00,0,200,5,
1889-07-30 00:00:00,7.62,200,5,
1889-07-31 00:00:00,3.81,200,5,
1889-08-04 00:00:00,0,200,5,
1889-08-05 00:00:00,9.65,200,5,
1889-08-06 00:00:00,0.76,200,5,
1889-08-08 00:00:00,0,200,5,
1889-08-09 00:00:00,0.25,200,5,
1889-08-11 00:00:00,0,200,5,
1889-08-12 00:00:00,2.79,200,5,
1889-08-13 00:00:00,6.35,200,5,
1889-08-14 00:00:00,1.27,200,5,
1889-08-15 00:00:00,3.3,200,5,
1889-08-16 00:00:00,10.92,200,5,
1889-08-17 00:00:00,2.54,200,5,
1889-08-18 00:00:00,1.27,200,5,
1889-08-19 00:00:00,5.08,200,5,
1889-08-22 00:00:00,0,200,5,
1889-08-23 00:00:00,5.33,200,5,
1889-08-24 00:00:00,10.41,200,5,
1889-08-25 00:00:00,2.03,200,5,
1889-08-26 00:00:00,1.27,200,5,
1889-08-27 00:00:00,1.02,200,5,
1889-08-28 00:00:00,1.02,200,5,
1889-08-30 00:00:00,0,200,5,
1889-08-31 00:00:00,0.51,200,5,
1889-09-04 00:00:00,0,200,5,
1889-09-05 00:00:00,5.33,200,5,
1889-09-06 00:00:00,5.84,200,5,
1889-09-07 00:00:00,0,200,5,
1889-09-08 00:00:00,3.81,200,5,
1889-09-09 00:00:00,15.24,200,5,
1889-09-10 00:00:00,2.29,200,5,
1889-09-11 00:00:00,0.25,200,5,
1889-09-15 00:00:00,0,200,5,
1889-09-16 00:00:00,15.24,200,5,
1889-09-17 00:00:00,19.05,200,5,
1889-09-18 00:00:00,4.83,200,5,
1889-09-19 00:00:00,2.54,200,5,
1889-09-20 00:00:00,4.57,200,5,
1889-09-21 00:00:00,8.89,200,5,
1889-09-22 00:00:00,1.02,200,5,
1889-09-23 00:00:00,0.76,200,5,
1889-09-24 00:00:00,0,200,5,
1889-09-25 00:00:00,30.99,200,5,
1889-09-26 00:00:00,12.95,200,5,
1889-09-27 00:00:00,1.52,200,5,
1889-09-28 00:00:00,10.16,200,5,
1889-09-29 00:00:00,2.54,200,5,
1889-10-01 00:00:00,0,200,5,
1889-10-02 00:00:00,3.05,200,5,
1889-10-03 00:00:00,16,200,5,
1889-10-04 00:00:00,7.11,200,5,
1889-10-05 00:00:00,1.27,200,5,
1889-10-07 00:00:00,0,200,5,
1889-10-08 00:00:00,21.08,200,5,
1889-10-09 00:00:00,0.25,200,5,
1889-10-10 00:00:00,0.25,200,5,
1889-10-11 00:00:00,1.52,200,5,
1889-10-14 00:00:00,0,200,5,
1889-10-15 00:00:00,3.56,200,5,
1889-10-16 00:00:00,25.4,200,5,
1889-10-17 00:00:00,1.78,200,5,
1889-10-24 00:00:00,0,200,5,
1889-10-31 00:00:00,0,200,5,
1889-11-01 00:00:00,0,200,5,
1889-11-02 00:00:00,1.27,200,5,
1889-11-03 00:00:00,9.65,200,5,
1889-11-06 00:00:00,0,200,5,
1889-11-07 00:00:00,1.27,200,5,
1889-11-08 00:00:00,12.19,200,5,
1889-11-10 00:00:00,0,200,5,
1889-11-11 00:00:00,2.03,200,5,
1889-11-15 00:00:00,0,200,5,
1889-11-16 00:00:00,1.27,200,5,
1889-11-23 00:00:00,0,200,5,
1889-11-24 00:00:00,0.51,200,5,
1889-12-01 00:00:00,0,200,5,
1889-12-02 00:00:00,0,200,5,
1889-12-03 00:00:00,2.54,200,5,
1889-12-04 00:00:00,12.7,200,5,
1889-12-05 00:00:00,0,200,5,
1889-12-06 00:00:00,11.43,200,5,
1889-12-07 00:00:00,4.57,200,5,
1889-12-08 00:00:00,2.54,200,5,
1889-12-14 00:00:00,0,200,5,
1889-12-15 00:00:00,3.05,200,5,
1889-12-22 00:00:00,0,200,5,
1889-12-23 00:00:00,0,200,5,
1889-12-24 00:00:00,25.91,200,5,
1889-12-27 00:00:00,0,200,5,
1889-12-28 00:00:00,3.81,200,5,
1889-12-31 00:00:00,0,200,5,
1890-01-01 00:00:00,0.25,200,5,
1890-01-02 00:00:00,0,200,5,
1890-01-03 00:00:00,1.78,200,5,
1890-01-08 00:00:00,0,200,5,
1890-01-09 00:00:00,19.05,200,5,
1890-01-10 00:00:00,0.51,200,5,
1890-01-13 00:00:00,0,200,5,
1890-01-14 00:00:00,0.25,200,5,
1890-01-17 00:00:00,0,200,5,
1890-01-18 00:00:00,2.03,200,5,
1890-01-25 00:00:00,0,200,5,
1890-01-31 00:00:00,0,200,5,
1890-02-01 00:00:00,1.02,200,5,
1890-02-08 00:00:00,0,200,5,
1890-02-10 00:00:00,0,200,5,
